priority_rank,canonical_url,locale,page_type,clicks,impressions,ctr_percent,average_position,source_url_count,performance_evidence,coverage_evidence,recommended_status,implementation_wave,primary_intent,next_action,confidence
1,"https://www.halatao.cz/cs/sluzby/system-pro-rizeni-poptavek-a-zakazek/",cs,service,2,176,1.14,12.11,3,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",IMPLEMENT NOW,1,"transactional: who will design and build the system","Deepen implementation scope, integrations, roles, delivery model and CTA; keep guide/use-case/problem boundaries explicit",HIGH
2,"https://www.halatao.cz/cs/pruvodce/jak-automatizovat-zpracovani-poptavek/",cs,guide,0,57,0.00,5.24,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",IMPLEMENT NOW,1,"informational: how to prepare and introduce request automation","Add phased how-to, prerequisites, ownership, rollout and acceptance checks; do not duplicate the service offer",HIGH
3,"https://www.halatao.cz/cs/priklady/system-pro-poptavky-nabidky-a-realizaci/",cs,use_case,0,60,0.00,7.75,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",IMPLEMENT NOW,1,"use case: how the system works in practice","Show roles, states, hand-offs, exceptions and the resulting operating overview",HIGH
4,"https://www.halatao.cz/cs/problemy/potrebujeme-nahradit-excel-ve-firemnim-procesu/",cs,problem,0,26,0.00,4.50,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",IMPLEMENT NOW,1,"problem recognition for replacing spreadsheets in a process","Add a diagnostic decision checklist and run a one-variable title test; keep the narrow request-offer pain owner distinct",MEDIUM-HIGH
5,"https://www.halatao.cz/cs/sluzby/prevzeti-a-rozvoj-existujici-aplikace/",cs,service,0,15,0.00,6.60,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",IMPLEMENT NOW,1,"transactional: takeover, stabilization and continued development","Add evidence-led takeover phases, access and release expectations, risk triage, handover outputs and collaboration CTA",HIGH
6,"https://www.halatao.cz/cs/pruvodce/jak-odhalit-rucni-prepisovani-dat/",cs,guide,0,31,0.00,6.22,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",TEST,1,"informational diagnosis of manual data retyping","Run a one-variable title test; description and H1 remain unchanged; evaluate for at least 56 days",MEDIUM
7,"https://www.halatao.cz/cs/sablony/checklist-api-integrace/",cs,tool,,,,,,"not present in normalized page Performance export","historical crawled-not-indexed on 2026-05-20; current route active, sitemap present, depth 2, 9 inbound",IMPLEMENT NOW,1,"working asset: API integration readiness checklist","Add reusable ownership, failure, retry, idempotency and monitoring fields plus one compact completed example",HIGH
8,"https://www.halatao.cz/cs/sablony/scope-worksheet-pro-interni-system/",cs,tool,,,,,,"not present in normalized page Performance export","historical crawled-not-indexed on 2026-05-19; current route active, sitemap present, depth 2, 3 inbound",IMPLEMENT NOW,1,"working asset: internal-tool scope worksheet","Add role-state-exception-data prompts and a compact filled example; avoid service-page narrative",HIGH
9,"https://www.halatao.cz/cs/sablony/checklist-prevzeti-aplikace/",cs,tool,,,,,,"not present in normalized page Performance export","historical crawled-not-indexed on 2026-05-09; current route active, sitemap present, depth 2, 3 inbound",IMPLEMENT NOW,1,"working asset: application takeover checklist","Add evidence, owner, status, priority, access, environment, release, rollback and handover-output fields",HIGH
10,"https://www.halatao.cz/cs/sablony/discovery-checklist-pro-automatizace/",cs,tool,,,,,,"not present in normalized page Performance export","historical crawled-not-indexed on 2026-05-21; current route active, sitemap present, depth 2, 3 inbound",IMPLEMENT NOW,1,"working asset: automation discovery worksheet","Add process, exception, owner, source-data, failure-impact, intervention and acceptance-signal fields",HIGH
11,"https://www.halatao.cz/cs/problemy/poptavky-nabidky-a-realizace-v-excelu-a-emailu/",cs,problem,0,4,0.00,9.00,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"narrow request-offer-delivery pain owner","Keep stable while the broader Excel-process diagnostic is tested; monitor query overlap",MEDIUM
12,"https://www.halatao.cz/cs/sluzby/interni-systemy-na-miru/",cs,service,0,20,0.00,10.00,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"transactional custom internal systems","Use filtered GSC query-by-page data to decide whether content or snippet work is justified",MEDIUM
13,"https://www.halatao.cz/cs/priklady/workflow-automatizace/",cs,use_case,1,35,2.86,23.11,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"use case for workflow automation","Preserve current copy during wave 1; reassess ranking and query fit after a stable comparison window",MEDIUM
14,"https://www.halatao.cz/cs/sluzby/ai-automatizace-a-integrace/",cs,service,0,42,0.00,20.14,2,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"transactional AI automation and integrations","Do not rewrite broadly; first obtain query-by-page evidence and post-canonicalization data",MEDIUM
15,"https://www.halatao.cz/cs/lokality/brno/",cs,location,0,23,0.00,19.43,1,"normalized page aggregate; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"local commercial relevance for Brno","Monitor local-query impressions after the location-hub rollout; avoid doorway-style expansion",MEDIUM
16,"https://www.halatao.cz/cs/",cs,home,10,58,17.24,3.60,3,"normalized page aggregate includes root and no-slash aliases; 2026-06-15 to 2026-07-12","not reviewed in Coverage export",MONITOR,later,"brand and primary navigation","No P2 copy change; use as the locale discovery root and monitor alias consolidation",HIGH
