backlog_id,wave,priority,status,locale,workstream,target,owner_intent,planned_change,current_worktree_state,execution_gate,acceptance_criteria,measurement_window,rollback,confidence
P2-CONTENT-01,1,P0,IMPLEMENT NOW,cs,content,"https://www.halatao.cz/cs/sluzby/system-pro-rizeni-poptavek-a-zakazek/","transactional: who will design and build the system","Deepen implementation scope, integrations, roles and states, delivery model, proof and CTA; add contextual links to the guide, use case and pain page","implemented in worktree; not deployed","Production P0 redirects and final canonicals must pass one-hop HTTP acceptance tests before measurement starts","One H1 and existing contract preserved; service answers who builds it; no duplicated guide/use-case/problem sections; contextual links use canonical URLs","28 stable days after deployment versus the preceding comparable 28-day period","Revert only this page's copy and contextual links; preserve canonical and merged URL owner",HIGH
P2-CONTENT-02,1,P0,IMPLEMENT NOW,cs,content,"https://www.halatao.cz/cs/pruvodce/jak-automatizovat-zpracovani-poptavek/","informational: how to prepare and introduce automation","Add an answer-first lead and ordered ten-step process; link contextually to service, use case, pain page and discovery checklist","implemented in worktree; not deployed","Same P0 production gate; preserve the guide's canonical owner","Guide answers how to prepare and introduce automation; no transactional duplication; one H1; contextual canonical links present","28 stable days after deployment versus the preceding comparable 28-day period","Revert guide copy and new contextual links only",HIGH
P2-CONTENT-03,1,P0,IMPLEMENT NOW,cs,content,"https://www.halatao.cz/cs/priklady/system-pro-poptavky-nabidky-a-realizaci/","use case: how the system operates in practice","Render a code-native ordered workflow with owners, hand-offs, notifications, dashboard and exception handling","implemented in worktree; not deployed","Same P0 production gate; preserve winner URL and loser redirect","Use case demonstrates a concrete workflow; it is not a second service or guide; one H1; contextual canonical links present","28 stable days after deployment versus the preceding comparable 28-day period","Revert use-case workflow and copy only",HIGH
P2-CONTENT-04,1,P0,IMPLEMENT NOW,cs,content,"https://www.halatao.cz/cs/problemy/potrebujeme-nahradit-excel-ve-firemnim-procesu/","problem recognition: when Excel stops being sufficient for an important business process","Add concrete symptoms and a diagnostic Excel/process/SaaS/internal-system decision checklist; link to guide, service and worksheet","implemented in worktree; not deployed","Preserve the narrower request-offer-delivery pain winner and all P1 redirects","Pain page answers how to recognize the broader process problem; one H1; title-only test documented; contextual canonical links present","56 stable days after deployment because baseline sample is small","Revert this page's title, diagnostic copy and contextual links only",MEDIUM-HIGH
P2-CONTENT-05,1,P0,IMPLEMENT NOW,cs,content,"https://www.halatao.cz/cs/sluzby/prevzeti-a-rozvoj-existujici-aplikace/","transactional: takeover, stabilization and continued development","Add takeover phases, required access and evidence, risk triage, release and rollback expectations, handover outputs, collaboration model and CTA","implemented in worktree; not deployed","Production URL layer stable; do not copy the audit guide or checklist narrative","Service clearly answers who can take over and continue the application; guide owns process education and checklist owns the working asset","56 stable days after deployment because baseline sample is small","Revert the bounded content expansion; keep route and metadata contract",HIGH
P2-ASSET-01,1,P1,IMPLEMENT NOW,cs,working_asset,"https://www.halatao.cz/cs/sablony/checklist-api-integrace/","reusable API integration readiness checklist","Add fields for data ownership, authentication, failure modes, retries, idempotency, monitoring and one compact completed example","implemented in worktree; not deployed","Current canonical route remains indexable; no false indexation conclusion from the May no-slash Coverage row","Page remains a usable checklist, not a technology article or service page; static output and SEO validation pass","Request recrawl after deployment; evaluate after 4-6 stable weeks","Revert added checklist fields and example only",HIGH
P2-ASSET-02,1,P1,IMPLEMENT NOW,cs,working_asset,"https://www.halatao.cz/cs/sablony/scope-worksheet-pro-interni-system/","reusable internal-tool scope worksheet","Add role-state-exception-data prompts and a compact filled example","implemented in worktree; not deployed","Current canonical route remains indexable; retain distinct worksheet intent","A user can complete the worksheet without service narrative duplication; one H1; static output passes","Request recrawl after deployment; evaluate after 4-6 stable weeks","Revert added worksheet prompts and example only",HIGH
P2-ASSET-03,1,P1,IMPLEMENT NOW,cs,working_asset,"https://www.halatao.cz/cs/sablony/checklist-prevzeti-aplikace/","practical application takeover checklist","Add evidence, owner, status, priority, access, environment, release, rollback and one compact completed example","implemented in worktree; not deployed","Current canonical route remains indexable; service and guide owners stay distinct","Checklist is directly usable and does not duplicate the takeover service or audit guide narrative","Request recrawl after deployment; evaluate after 4-6 stable weeks","Revert added checklist fields and example only",HIGH
P2-ASSET-04,1,P1,IMPLEMENT NOW,cs,working_asset,"https://www.halatao.cz/cs/sablony/discovery-checklist-pro-automatizace/","reusable automation discovery worksheet","Add process map, exception path, owner, source data, failure impact, candidate intervention, acceptance signal and example","implemented in worktree; not deployed","Current canonical route remains indexable; discovery guide keeps the how-to narrative","Worksheet supports a real discovery session and remains distinct from guide and service intent","Request recrawl after deployment; evaluate after 4-6 stable weeks","Revert added worksheet fields and example only",HIGH
P2-TECH-01,1,P1,IMPLEMENT NOW,all,technical,"src/app/robots.ts","crawler hygiene","Remove the unnecessary scheme-bearing Host directive; retain the canonical absolute sitemap URL and existing allow/disallow rules","implemented in worktree; not deployed","Do not use robots.txt as a canonicalization substitute","Generated robots.txt returns 200, contains the canonical sitemap URL, contains no scheme-bearing Host line and preserves current rules","Validate in static output and again after deployment","Restore the removed Host field only if a documented crawler requirement is established",HIGH
P2-TECH-02,1,P1,IMPLEMENT NOW,cs,accessibility,"https://www.halatao.cz/cs/sluzby/automatizace-a-integrace/","document structure for the special landing template","Wrap the primary page content in one semantic main element without nesting or changing forms, CTA behavior or visible copy","implemented in worktree; not deployed","Rendered page must be checked, not only component source","Static HTML contains exactly one main and one H1; form, anchor targets and analytics attributes remain functional","Validate in static output and perform keyboard/form smoke test","Revert the wrapper-only markup change",HIGH
